Code Ville 1,Code Pays 1,Ville 1,Code Ville 2,Code Pays 2,Ville 2,Passagers 2000,Distance (km)
FLL,UNST,FORT LAUDERDALE,TPA,UNST,"TAMPA, FL **",961224,315
BUR,UNST,BURBANK,SJC,UNST,SAN JOSE,955096,475
LAS,UNST,LAS VEGAS,PDX,UNST,PORTLAND,952894,1225
CHI,UNST,CHICAGO **,SEA,UNST,SEATTLE,950994,2785
CLT,UNST,CHARLOTTE,NYC,UNST,NEW YORK **,949962,865
ATL,UNST,ATLANTA,DEN,UNST,DENVER,946700,1939
BOG,COLM,BOGOTA,MDE,COLM,MEDELLIN,945756,233
NYC,UNST,NEW YORK **,TLV,ISRL,TEL AVIV,942975,9120
CAG,ITAL,CAGLIARI,ROM,ITAL,ROMA **,942578,389
AMS,NETH,AMSTERDAM,DET,UNST,DETROIT **,941892,6285
LON,UNKG,LONDON **,ORL,UNST,ORLANDO,937801,6935
FAO,PORT,FARO,LON,UNKG,LONDON **,937452,1684
AKL,NEWZ,AUCKLAND,SYD,ASTL,SYDNEY,936850,2160
NYC,UNST,NEW YORK **,SAN,UNST,SAN DIEGO,935590,3907
LAX,UNST,LOS ANGELES **,ORL,UNST,ORLANDO,932876,3552
JNB,SOUF,JOHANNESBURG,LON,UNKG,LONDON **,928205,9072
SEA,UNST,SEATTLE,SNA,UNST,ORANGE COUNT,928102,1576
BOG,COLM,BOGOTA,CLO,COLM,CALI,921302,298
LAX,UNST,LOS ANGELES **,SEL,KORR,SEOUL **,915967,9591
LAS,UNST,LAS VEGAS,PHL,UNST,PHILADELPHIA,911654,3494
ATL,UNST,ATLANTA,SFO,UNST,SAN FRANCISCO,911274,3432
LAX,UNST,LOS ANGELES **,MSP,UNST,MINNEAPOLIS,907280,2467
ATL,UNST,ATLANTA,BWI,UNST,BALTIMORE,904492,926
LAX,UNST,LOS ANGELES **,PHL,UNST,PHILADELPHIA,901252,3854
DEN,UNST,DENVER,SEA,UNST,SEATTLE,899522,1635
LAS,UNST,LAS VEGAS,MSP,UNST,MINNEAPOLIS,898414,2088
SFO,UNST,SAN FRANCISCO,TYO,JAPN,TOKYO **,895420,8281
BUR,UNST,BURBANK,PHX,UNST,PHOENIX,892674,589
BUR,UNST,BURBANK,SFO,UNST,SAN FRANCISCO,892564,525
LAX,UNST,LOS ANGELES **,PUS,KORR,PUSAN,891597,9604
OSL,NORW,OSLO **,STO,SWED,STOCKHOLM **,890848,416
BNA,UNST,NASHVILLE,CHI,UNST,CHICAGO **,889826,642
NYC,UNST,NEW YORK **,TYO,JAPN,TOKYO **,888579,10850
BOS,UNST,BOSTON,DAL,UNST,DALLAS **,887598,2505
PDX,UNST,PORTLAND,SFO,UNST,SAN FRANCISCO,883786,885
AMS,NETH,AMSTERDAM,NYC,UNST,NEW YORK **,881618,5849
BOS,UNST,BOSTON,TPA,UNST,"TAMPA, FL **",881610,1908
LON,UNKG,LONDON **,MIA,UNST,MIAMI **,880076,7082
FMY,UNST,FORT MYERS,NYC,UNST,NEW YORK **,879632,1733
LAX,UNST,LOS ANGELES **,TUS,UNST,TUCSON,878128,723
OAK,UNST,OAKLAND,PDX,UNST,PORTLAND,875786,875
MAN,UNKG,MANCHESTER,TCI,SPNA,TENERIFE **,873095,3017
LON,UNKG,LONDON **,TCI,SPNA,TENERIFE **,872323,2872
SIN,SING,SINGAPORE **,SYD,ASTL,SYDNEY,869802,6289
LON,UNKG,LONDON **,TLV,ISRL,TEL AVIV,867486,3604
LIS,PORT,LISBON,LON,UNKG,LONDON **,865607,1536
ATH,GREC,ATHENS,HER,GREC,IRAKLION,865397,313
CGN,GERF,COLOGNE,MUC,GERF,MUNICH,865045,447
CAI,EGYP,CAIRO,JED,SAUD,JEDDAH,865000,1236
BWI,UNST,BALTIMORE,TPA,UNST,"TAMPA, FL **",861048,1357
LLA,SWED,LULEA,STO,SWED,STOCKHOLM **,860815,721
PAR,FRAN,PARIS **,TYO,JAPN,TOKYO **,858738,9733
MIA,UNST,MIAMI **,NAS,BAHM,NASSAU,857133,295
HNL,UNST,HONOLULU,OSA,JAPN,OSAKA,856848,6586
ATL,UNST,ATLANTA,MSP,UNST,MINNEAPOLIS,856102,1459
HFD,UNST,HARTFORD SPRINGFIELDS,DAL,UNST,DALLAS **,852814,2358
ATL,UNST,ATLANTA,MEM,UNST,MEMPHIS,852800,531
BUE,ARGT,BUENOS AIRES **,SCL,CHIL,SANTIAGO DE CHILE,851984,1140
PDX,UNST,PORTLAND,PHX,UNST,PHOENIX,847606,1623
BWI,UNST,BALTIMORE,SFO,UNST,SAN FRANCISCO,844900,3943
LON,UNKG,LONDON **,OSL,NORW,OSLO **,843183,1192
PHL,UNST,PHILADELPHIA,SFO,UNST,SAN FRANCISCO,841934,4046
GVA,SWTZ,GENEVA,ZRH,SWTZ,ZURICH,841449,229
LAS,UNST,LAS VEGAS,SMF,UNST,SACRAMENTO,840074,622
MIA,UNST,MIAMI **,WAS,UNST,WASHINGTON **,839102,1481
MSP,UNST,MINNEAPOLIS,WAS,UNST,WASHINGTON **,835978,1478
LIS,PORT,LISBON,PAR,FRAN,PARIS **,835868,1439
CHI,UNST,CHICAGO **,RDU,UNST,RALEIGH/DURHAM,834530,1014
HOU,UNST,HOUSTON **,IND,UNST,INDIANAPOLIS,828762,1389
NYC,UNST,NEW YORK **,STL,UNST,ST LOUIS,825930,1415
CHI,UNST,CHICAGO **,SAN,UNST,SAN DIEGO,823050,2785
FLL,UNST,FORT LAUDERDALE,PHL,UNST,PHILADELPHIA,821066,1602
BOS,UNST,BOSTON,DEN,UNST,DENVER,819700,2834
IND,UNST,INDIANAPOLIS,ORL,UNST,ORLANDO,818718,1324
ROM,ITAL,ROMA **,TRN,ITAL,TORINO,818167,528
CLE,UNST,CLEVELAND,NYC,UNST,NEW YORK **,817932,663
LCA,CYPR,LARNACA,LON,UNKG,LONDON **,814762,3292
BWI,UNST,BALTIMORE,LAS,UNST,LAS VEGAS,812612,3380
PHL,UNST,PHILADELPHIA,TPA,UNST,"TAMPA, FL **",811400,1484
PAR,FRAN,PARIS **,RUN,REUN,ST DENIS,811226,9353
LAX,UNST,LOS ANGELES **,SYD,ASTL,SYDNEY,810777,12053
SEA,UNST,SEATTLE,SMF,UNST,SACRAMENTO,810338,995
BWI,UNST,BALTIMORE,PHX,UNST,PHOENIX,808716,3210
BIO,SPAN,BILBAO,MAD,SPAN,MADRID **,807908,319
HKG,HONG,HONG KONG,KUL,MALB,KUALA LUMPUR,807015,2525
NYC,UNST,NEW YORK **,ROM,ITAL,ROMA **,806816,6869
HOU,UNST,HOUSTON **,LAS,UNST,LAS VEGAS,806428,1983
BWI,UNST,BALTIMORE,STL,UNST,ST LOUIS,805028,1184
HFD,UNST,HARTFORD SPRINGFIELDS,CHI,UNST,CHICAGO **,803732,1235
CHI,UNST,CHICAGO **,MIA,UNST,MIAMI **,802162,1908
STR,GERF,STUTTGART,BER,GERF,BERLIN **,801131,516
PAR,FRAN,PARIS **,YMQ,CAND,MONTREAL **,792091,5509
DUS,GERF,DUSSELDORF,LON,UNKG,LONDON **,791694,526
MIL,ITAL,MILANO **,PMO,ITAL,PALERMO,790633,899
FRA,GERF,FRANKFURT,PMI,SPAN,PALMA DE MALLORCA,790402,1251
PAR,FRAN,PARIS **,ZRH,SWTZ,ZURICH,790213,479
DEN,UNST,DENVER,MKC,UNST,KANSAS CITY,788366,886
PDX,UNST,PORTLAND,SMF,UNST,SACRAMENTO,787786,790
OAK,UNST,OAKLAND,PHX,UNST,PHOENIX,786960,1035
NYC,UNST,NEW YORK **,SDQ,DOMR,SANTO DOMINGO,785131,2514
ALC,SPAN,ALICANTE,LON,UNKG,LONDON **,783674,1436
DUS,GERF,DUSSELDORF,BER,GERF,BERLIN **,783612,471
BOS,UNST,BOSTON,MSP,UNST,MINNEAPOLIS,782998,1803
LON,UNKG,LONDON **,VIE,AUST,VIENNA,782706,1292
CCS,VENZ,CARACAS,MIA,UNST,MIAMI **,780194,2194
MAN,UNKG,MANCHESTER,PMI,SPAN,PALMA DE MALLORCA,777818,1580
TPA,UNST,"TAMPA, FL **",WAS,UNST,WASHINGTON **,774874,1308
CHI,UNST,CHICAGO **,TYO,JAPN,TOKYO **,774779,10141
ORL,UNST,ORLANDO,PVD,UNST,PROVIDENCE,773598,1719
LIS,PORT,LISBON,MAD,SPAN,MADRID **,772426,512
PAR,FRAN,PARIS **,TUN,TUNS,TUNIS,770099,1466
BWI,UNST,BALTIMORE,FLL,UNST,FORT LAUDERDALE,768610,1492
PAR,FRAN,PARIS **,TLV,ISRL,TEL AVIV,768434,3283
SHA,CHIN,SHANGHAI **,TYO,JAPN,TOKYO **,765674,1754
GDL,MEXC,GUADALAJARA,LAX,UNST,LOS ANGELES **,764613,2103
GUM,GUAM,GUAM,OSA,JAPN,OSAKA,763139,2545
AGH,SWED,HELSINGBORG,STO,SWED,STOCKHOLM **,762207,456
FLL,UNST,FORT LAUDERDALE,WAS,UNST,WASHINGTON **,761956,1450
FNC,MADR,FUNCHAL,LIS,PORT,LISBON,759813,977
OSA,JAPN,OSAKA **,TPE,TAIW,TAIPEI,756498,1717
LON,UNKG,LONDON **,ORK,IRLD,CORK,753800,533
