Code Ville 1,Code Pays 1,Ville 1,Code Ville 2,Code Pays 2,Ville 2,Passagers 2000,Distance (km)
ELP,UNST,EL PASO,PHX,UNST,PHOENIX,418128,559
BCN,SPAN,BARCELONA,ROM,ITAL,ROMA **,417988,845
AMS,NETH,AMSTERDAM,YTO,CAND,TORONTO,417463,5986
BRU,BELG,BRUSSELS,ZRH,SWTZ,ZURICH,417383,484
VIE,AUST,VIENNA,ZRH,SWTZ,ZURICH,416497,601
CHI,UNST,CHICAGO **,MEX,MEXC,MEXICO CITY,415160,2716
LON,UNKG,LONDON **,MAH,SPAN,MAHON,414999,1329
PDX,UNST,PORTLAND,SNA,UNST,ORANGE COUNT,414784,1384
MAN,UNKG,MANCHESTER,NYC,UNST,NEW YORK **,414410,5364
OSD,SWED,OSTERSUND,STO,SWED,STOCKHOLM **,413667,464
PDX,UNST,PORTLAND,SEA,UNST,SEATTLE,412996,209
NYC,UNST,NEW YORK **,ZRH,SWTZ,ZURICH,412787,6312
PAR,FRAN,PARIS **,RAK,MORC,MARRAKECH,412321,2093
AMS,NETH,AMSTERDAM,TLV,ISRL,TEL AVIV,412121,3311
AYT,TURK,ANTALYA,FRA,GERF,FRANKFURT,411679,2295
FRA,GERF,FRANKFURT,STO,SWED,STOCKHOLM **,410949,1195
SYD,ASTL,SYDNEY,TYO,JAPN,TOKYO **,410337,7811
AMS,NETH,AMSTERDAM,BHX,UNKG,BIRMINGHAM,409968,443
CHI,UNST,CHICAGO **,YMQ,CAND,MONTREAL **,409764,1199
SPC,SPNA,LA PALMA,TCI,SPNA,TENERIFE **,409575,123
LON,UNKG,LONDON **,PSA,ITAL,PISA,408295,1191
MIA,UNST,MIAMI **,PAP,HAIT,PORT AU PRINCE,408064,1147
MUC,GERF,MUNICH,PMI,SPAN,PALMA DE MALLORCA,407978,1192
MSP,UNST,MINNEAPOLIS,PHL,UNST,PHILADELPHIA,407884,1573
ORL,UNST,ORLANDO,PHX,UNST,PHOENIX,407504,2962
ATL,UNST,ATLANTA,PBI,UNST,PALM BEACH,406684,879
RDU,UNST,RALEIGH/DURHAM,TPA,UNST,"TAMPA, FL **",406566,946
MIL,ITAL,MILANO **,SSH,EGYP,SHARM EL SHEIKH,405811,2966
CLT,UNST,CHARLOTTE,DAL,UNST,DALLAS **,405706,1501
BUE,ARGT,BUENOS AIRES **,MVD,URUG,MONTEVIDEO,405685,206
ACE,SPNA,ARRECIFE,MAD,SPAN,MADRID **,405627,1572
BNA,UNST,NASHVILLE,HOU,UNST,HOUSTON **,405486,1079
HOU,UNST,HOUSTON **,MKC,UNST,KANSAS CITY,405210,1054
DEN,UNST,DENVER,DET,UNST,DETROIT **,405080,1821
AUS,UNST,AUSTIN,PHX,UNST,PHOENIX,403760,1395
FLL,UNST,FORT LAUDERDALE,LAS,UNST,LAS VEGAS,403344,3490
NGO,JAPN,NAGOYA,TPE,TAIW,TAIPEI,403302,1857
LAX,UNST,LOS ANGELES **,YTO,CAND,TORONTO,402833,3491
KAG,KORR,GANGNEUNG,SEL,KORR,SEOUL **,402121,190
SAN,UNST,SAN DIEGO,TUS,UNST,TUCSON,401854,589
ATL,UNST,ATLANTA,CLT,UNST,CHARLOTTE,401516,365
BUD,HUNG,BUDAPEST,LON,UNKG,LONDON **,401490,1508
FRA,GERF,FRANKFURT,MOW,RUSF,MOSCOU **,401177,2024
NYC,UNST,NEW YORK **,RIC,UNST,RICHMOND,400738,461
CMH,UNST,"COLUMBUS, OH **",PHX,UNST,PHOENIX,400376,2684
DUB,IRLD,DUBLIN,GLA,UNKG,GLASGOW **,399726,296
PVD,UNST,PROVIDENCE,TPA,UNST,"TAMPA, FL **",398832,1831
HAV,CUBA,HAVANA,MAD,SPAN,MADRID **,398667,7453
MIL,ITAL,MILANO **,OLB,ITAL,OLBIA,398560,520
AMS,NETH,AMSTERDAM,OSL,NORW,OSLO **,398528,916
BNA,UNST,NASHVILLE,LAX,UNST,LOS ANGELES **,397482,2883
OSA,JAPN,OSAKA **,SYD,ASTL,SYDNEY,396898,7809
PUS,KORR,PUSAN,TPE,TAIW,TAIPEI,396635,1338
PAR,FRAN,PARIS **,BER,GERF,BERLIN **,396208,878
IBZ,SPAN,IBIZA,LON,UNKG,LONDON **,396162,1392
SDL,SWED,SUNDSVALL,STO,SWED,STOCKHOLM **,396083,355
BOS,UNST,BOSTON,SEA,UNST,SEATTLE,396066,4002
LAS,UNST,LAS VEGAS,OMA,UNST,OMAHA,395850,1764
LIM,PERU,LIMA,MIA,UNST,MIAMI **,395482,4216
RDU,UNST,RALEIGH/DURHAM,WAS,UNST,WASHINGTON **,395018,362
AMS,NETH,AMSTERDAM,TYO,JAPN,TOKYO **,394349,9308
KIN,JAMC,KINGSTON,MIA,UNST,MIAMI **,394270,946
LON,UNKG,LONDON **,WAW,POLD,WARSAW,393943,1497
STL,UNST,ST LOUIS,TPA,UNST,"TAMPA, FL **",393710,1400
CHI,UNST,CHICAGO **,JAX,UNST,JACKSONVILLE,393232,1381
PAR,FRAN,PARIS **,SFO,UNST,SAN FRANCISCO,391342,8972
LIS,PORT,LISBON,NYC,UNST,NEW YORK **,391330,5414
LAS,UNST,LAS VEGAS,SAT,UNST,SAN ANTONIO,389784,1718
AMS,NETH,AMSTERDAM,DUB,IRLD,DUBLIN,389635,750
LAS,UNST,LAS VEGAS,STL,UNST,ST LOUIS,388424,2202
AMS,NETH,AMSTERDAM,LTN,UNKG,LUTON,388352,355
BWI,UNST,BALTIMORE,DAL,UNST,DALLAS **,387584,1950
DET,UNST,DETROIT **,LON,UNKG,LONDON **,387308,5991
BNA,UNST,NASHVILLE,RDU,UNST,RALEIGH/DURHAM,386608,711
MIA,UNST,MIAMI **,PTY,PANM,PANAMA CITY - TOCUMEN,386561,1860
EDI,UNKG,EDINBURGH,LTN,UNKG,LUTON,386148,494
DUS,GERF,DUSSELDORF,PAR,FRAN,PARIS **,385716,421
ORL,UNST,ORLANDO,SDF,UNST,LOUISVILLE,385580,1146
IND,UNST,INDIANAPOLIS,PHX,UNST,PHOENIX,385382,2392
BCN,SPAN,BARCELONA,BIO,SPAN,BILBAO,385329,467
MSP,UNST,MINNEAPOLIS,STL,UNST,ST LOUIS,384044,723
PAD,GERF,PADERBORN,PMI,SPAN,PALMA DE MALLORCA,383352,1429
OMA,UNST,OMAHA,PHX,UNST,PHOENIX,383294,1667
BRU,BELG,BRUSSELS,LIS,PORT,LISBON,383034,1717
BUD,HUNG,BUDAPEST,FRA,GERF,FRANKFURT,382872,833
ATL,UNST,ATLANTA,SAN,UNST,SAN DIEGO,382208,3034
NYC,UNST,NEW YORK **,POP,DOMR,PUERTO PLATA,379917,2349
GCM,CAYM,GRAND CAYMAN,MIA,UNST,MIAMI **,379746,733
CHC,NEWZ,CHRISTCHURCH,SYD,ASTL,SYDNEY,379723,2126
LTN,UNKG,LUTON,NCE,FRAN,NICE,379257,1072
MSY,UNST,NEW ORLEANS,TPA,UNST,"TAMPA, FL **",378958,784
BHX,UNKG,BIRMINGHAM,PAR,FRAN,PARIS **,377837,505
GUM,GUAM,GUAM,NGO,JAPN,NAGOYA,377710,2542
HKG,HONG,HONG KONG,PAR,FRAN,PARIS **,376885,9626
AGP,SPAN,MALAGA,LTN,UNKG,LUTON,376853,1720
PHX,UNST,PHOENIX,RNO,UNST,RENO,376544,965
LON,UNKG,LONDON **,STR,GERF,STUTTGART,376421,772
BOM,INDA,BOMBAY,RUH,SAUD,RIYADH,376000,2765
PIT,UNST,PITTSBURGH,TPA,UNST,"TAMPA, FL **",375892,1407
HOU,UNST,HOUSTON **,SEA,UNST,SEATTLE,375760,3041
FRA,GERF,FRANKFURT,NUE,GERF,NUREMBERG,375736,190
AMS,NETH,AMSTERDAM,BRU,BELG,BRUSSELS,375710,159
BNA,UNST,NASHVILLE,CLE,UNST,CLEVELAND,375004,721
CLE,UNST,CLEVELAND,PHX,UNST,PHOENIX,374952,2791
CLE,UNST,CLEVELAND,TPA,UNST,"TAMPA, FL **",374418,1496
AMS,NETH,AMSTERDAM,LPA,SPNA,LAS PALMAS,374220,3185
NYC,UNST,NEW YORK **,ORF,UNST,NORFOLK,374144,469
LPA,SPNA,LAS PALMAS,MAN,UNKG,MANCHESTER,374100,3021
PBI,UNST,PALM BEACH,WAS,UNST,WASHINGTON **,373746,1382
ATL,UNST,ATLANTA,RIC,UNST,RICHMOND,373368,772
DEN,UNST,DENVER,SNA,UNST,ORANGE COUNT,372016,1338
DUS,GERF,DUSSELDORF,IST,TURK,ISTANBUL,370696,2037
FRA,GERF,FRANKFURT,TLV,ISRL,TEL AVIV,369698,2953
ATL,UNST,ATLANTA,SAV,UNST,SAVANNAH,369456,346
LAS,UNST,LAS VEGAS,MIA,UNST,MIAMI **,368774,3493
MRU,MAUT,MAURITIUS,RUN,REUN,ST DENIS,368567,227
DKR,SENG,DAKAR,PAR,FRAN,PARIS **,368442,4190
ACE,SPNA,ARRECIFE,MAN,UNKG,MANCHESTER,368379,2864
KUL,MALB,KUALA LUMPUR,TPE,TAIW,TAIPEI,368105,3232
DXB,UNAR,DUBAI,THR,IRAN,TEHRAN,367861,1221
MBJ,JAMC,MONTEGO BAY,MIA,UNST,MIAMI **,367429,847
BOS,UNST,BOSTON,YTO,CAND,TORONTO,366839,716
DRS,GERF,DRESDEN,FRA,GERF,FRANKFURT,366393,387
AUS,UNST,AUSTIN,LAX,UNST,LOS ANGELES **,366160,1986
BHM,UNST,BIRMINGHAM,PAR,FRAN,PARIS **,366108,7214
FUK,JAPN,FUKUOKA,TPE,TAIW,TAIPEI,365979,1280
CAI,EGYP,CAIRO,PAR,FRAN,PARIS **,365260,3202
AMS,NETH,AMSTERDAM,FAO,PORT,FARO,365130,1969
AUS,UNST,AUSTIN,LAS,UNST,LAS VEGAS,364904,1744
BOM,INDA,BOMBAY,LON,UNKG,LONDON **,364858,7233
PMI,SPAN,PALMA DE MALLORCA,BER,GERF,BERLIN **,364715,1656
DUS,GERF,DUSSELDORF,HAM,GERF,HAMBURG,364457,341
DEN,UNST,DENVER,TPA,UNST,"TAMPA, FL **",363550,2433
ATL,UNST,ATLANTA,YTO,CAND,TORONTO,363160,1190
HAM,GERF,HAMBURG,PAR,FRAN,PARIS **,361727,759
PBI,UNST,PALM BEACH,PHL,UNST,PHILADELPHIA,361166,1534
CLE,UNST,CLEVELAND,HOU,UNST,HOUSTON **,360862,1781
GCI,UNKG,GUERNSEY,LON,UNKG,LONDON **,360474,243
BWI,UNST,BALTIMORE,MKC,UNST,KANSAS CITY,359622,1542
OAK,UNST,OAKLAND,RNO,UNST,RENO,359382,291
BNA,UNST,NASHVILLE,TPA,UNST,"TAMPA, FL **",359250,988
BNA,UNST,NASHVILLE,DAL,UNST,DALLAS **,358752,1011
CLT,UNST,CHARLOTTE,WAS,UNST,WASHINGTON **,358742,523
BOS,UNST,BOSTON,PHX,UNST,PHOENIX,358612,3694
MIL,ITAL,MILANO **,ZRH,SWTZ,ZURICH,358528,216
BCN,SPAN,BARCELONA,TCI,SPNA,TENERIFE **,357854,2222
CLT,UNST,CHARLOTTE,PHL,UNST,PHILADELPHIA,357688,722
NYC,UNST,NEW YORK **,SAV,UNST,SAVANNAH,356848,1154
BOS,UNST,BOSTON,SAN,UNST,SAN DIEGO,356794,4153
ATL,UNST,ATLANTA,ORF,UNST,NORFOLK,356676,829
ORL,UNST,ORLANDO,SYR,UNST,SYRACUSE,356654,1687
BLQ,ITAL,BOLOGNA,ROM,ITAL,ROMA **,356625,315
AMS,NETH,AMSTERDAM,HER,GREC,IRAKLION,355901,2480
SLC,UNST,SALT LAKE CITY,SNA,UNST,ORANGE COUNT,355492,947
MRU,MAUT,MAURITIUS,PAR,FRAN,PARIS **,355426,9430
BRU,BELG,BRUSSELS,NCE,FRAN,NICE,355308,830
STL,UNST,ST LOUIS,WAS,UNST,WASHINGTON **,354926,1136
MSY,UNST,NEW ORLEANS,PHL,UNST,PHILADELPHIA,354272,1752
ATL,UNST,ATLANTA,FMY,UNST,FORT MYERS,354180,823
HOU,UNST,HOUSTON **,TPA,UNST,"TAMPA, FL **",353548,1256
FRA,GERF,FRANKFURT,VCE,ITAL,VENICE,353082,585
PHL,UNST,PHILADELPHIA,RDU,UNST,RALEIGH/DURHAM,351426,544
BKK,THAI,BANGKOK,PAR,FRAN,PARIS **,350455,9432
BDS,ITAL,BRINDISI,ROM,ITAL,ROMA **,350351,494
SFO,UNST,SAN FRANCISCO,YTO,CAND,TORONTO,348694,3625
MEM,UNST,MEMPHIS,WAS,UNST,WASHINGTON **,348240,1206
MAD,SPAN,MADRID **,MIA,UNST,MIAMI **,347737,7101
SHA,CHIN,SHANGHAI **,SIN,SING,SINGAPORE **,347514,3806
HOU,UNST,HOUSTON **,SAN,UNST,SAN DIEGO,346354,2104
DEN,UNST,DENVER,STL,UNST,ST LOUIS,346068,1253
CMH,UNST,"COLUMBUS, OH **",WAS,UNST,WASHINGTON **,345800,500
CMH,UNST,"COLUMBUS, OH **",LAX,UNST,LOS ANGELES **,345388,3202
HFD,UNST,HARTFORD SPRINGFIELDS,LAX,UNST,LOS ANGELES **,345290,4054
ATL,UNST,ATLANTA,MEX,MEXC,MEXICO CITY,344768,2144
MSY,UNST,NEW ORLEANS,SFO,UNST,SAN FRANCISCO,344654,3068
AMS,NETH,AMSTERDAM,IST,TURK,ISTANBUL,344332,2209
ATL,UNST,ATLANTA,CMH,UNST,"COLUMBUS, OH **",344282,719
LCA,CYPR,LARNACA,MAN,UNKG,MANCHESTER,344093,3466
JKT,INDO,JAKARTA **,KUL,MALB,KUALA LUMPUR,343985,1177
MIL,ITAL,MILANO **,ROM,ITAL,ROMA **,343809,489
FRA,GERF,FRANKFURT,HEL,FINL,HELSINKI,343342,1537
IST,TURK,ISTANBUL,MUC,GERF,MUNICH,343096,1567
FRA,GERF,FRANKFURT,SFO,UNST,SAN FRANCISCO,340847,9143
FRA,GERF,FRANKFURT,PRG,CZCH,PRAGUE,340718,418
CMB,SRIL,COLOMBO,MAA,INDA,CHENNAI/MADRAS,340487,647
FLL,UNST,FORT LAUDERDALE,RDU,UNST,RALEIGH/DURHAM,339926,1097
NYC,UNST,NEW YORK **,SAT,UNST,SAN ANTONIO,339838,2537
GVA,SWTZ,GENEVA,LTN,UNKG,LUTON,339793,783
BUE,ARGT,BUENOS AIRES **,RIO,BRAZ,RIO DE JANEIRO **,339744,1964
AMS,NETH,AMSTERDAM,WAS,UNST,WASHINGTON **,339691,6194
MKE,UNST,MILWAUKEE,SFO,UNST,SAN FRANCISCO,339592,2961
BHX,UNKG,BIRMINGHAM,PMI,SPAN,PALMA DE MALLORCA,339401,1474
TLV,ISRL,TEL AVIV,ZRH,SWTZ,ZURICH,339287,2809
RNO,UNST,RENO,SAN,UNST,SAN DIEGO,338894,787
FRA,GERF,FRANKFURT,SEL,KORR,SEOUL **,338814,8548
FRA,GERF,FRANKFURT,PUS,KORR,PUSAN,338814,8885
BFS,UNKG,BELFAST **,BHX,UNKG,BIRMINGHAM,337854,368
LON,UNKG,LONDON **,NAP,ITAL,NAPOLI,337347,1635
AGP,SPAN,MALAGA,AMS,NETH,AMSTERDAM,337012,1885
AMS,NETH,AMSTERDAM,LAX,UNST,LOS ANGELES **,336442,8951
MED,SAUD,MEDINA,RUH,SAUD,RIYADH,336000,706
BHM,UNST,BIRMINGHAM,BWI,UNST,BALTIMORE,335688,1095
LIS,PORT,LISBON,ZRH,SWTZ,ZURICH,335509,1722
BOM,INDA,BOMBAY,SIN,SING,SINGAPORE **,335270,3918
AGP,SPAN,MALAGA,BRU,BELG,BRUSSELS,334820,1735
LON,UNKG,LONDON **,OSA,JAPN,OSAKA,334394,9528
GOT,SWED,GOTEBORG **,LON,UNKG,LONDON **,334345,1103
CHI,UNST,CHICAGO **,HPN,UNST,WESTCHESTER COUNTY,333788,1162
ATL,UNST,ATLANTA,CVG,UNST,CINCINNATI,333040,600
FRA,GERF,FRANKFURT,LEJ,GERF,LEIPZIG,332750,310
ALC,SPAN,ALICANTE,BCN,SPAN,BARCELONA,332715,392
CRP,UNST,CORPUS CHRISTI,DAL,UNST,DALLAS **,332426,578
HOU,UNST,HOUSTON **,MAF,UNST,MIDLAND/ODESSA,332342,706
CAI,EGYP,CAIRO,LON,UNKG,LONDON **,332293,3541
BKK,THAI,BANGKOK,RGN,BURM,RANGOON,331724,579
FMY,UNST,FORT MYERS,IND,UNST,INDIANAPOLIS,330542,1517
PAR,FRAN,PARIS **,STR,GERF,STUTTGART,330049,500
KUL,MALB,KUALA LUMPUR,TYO,JAPN,TOKYO **,330009,5316
PAR,FRAN,PARIS **,YTO,CAND,TORONTO,329911,6019
NYC,UNST,NEW YORK **,SEL,KORR,SEOUL **,329755,11048
AMS,NETH,AMSTERDAM,AYT,TURK,ANTALYA,329732,2651
DET,UNST,DETROIT **,FRA,GERF,FRANKFURT,328866,6639
BHM,UNST,BIRMINGHAM,CHI,UNST,CHICAGO **,328736,926
BNE,ASTL,BRISBANE,SIN,SING,SINGAPORE **,328111,6158
MUC,GERF,MUNICH,VIE,AUST,VIENNA,327879,358
PHL,UNST,PHILADELPHIA,SAN,UNST,SAN DIEGO,327580,3803
CFU,GREC,CORFU,LON,UNKG,LONDON **,327512,2044
MIL,ITAL,MILANO **,TLV,ISRL,TEL AVIV,327496,2682
ROM,ITAL,ROMA **,ZRH,SWTZ,ZURICH,327470,692
PHX,UNST,PHOENIX,SNA,UNST,ORANGE COUNT,327354,541
CAN,CHIN,GUANGZHOU,HKG,HONG,HONG KONG,326904,134
MKE,UNST,MILWAUKEE,PHX,UNST,PHOENIX,326218,2346
LAX,UNST,LOS ANGELES **,MKE,UNST,MILWAUKEE,324658,2818
LGB,UNST,LONG BEACH,PHX,UNST,PHOENIX,323752,567
CHS,UNST,CHARLESTON,NYC,UNST,NEW YORK **,323512,1024
DEN,UNST,DENVER,OMA,UNST,OMAHA,323492,777
CPH,DENM,COPENHAGEN **,ZRH,SWTZ,ZURICH,322661,950
MBJ,JAMC,MONTEGO BAY,NYC,UNST,NEW YORK **,322132,2501
HOU,UNST,HOUSTON **,MIA,UNST,MIAMI **,321972,1536
BOS,UNST,BOSTON,FRA,GERF,FRANKFURT,321141,5885
LAX,UNST,LOS ANGELES **,PVD,UNST,PROVIDENCE,321118,4159
MKE,UNST,MILWAUKEE,WAS,UNST,WASHINGTON **,320646,1002
FLR,ITAL,FLORENCE,PAR,FRAN,PARIS **,320477,870
IBZ,SPAN,IBIZA,MAN,UNKG,MANCHESTER,320187,1633
PHL,UNST,PHILADELPHIA,SEA,UNST,SEATTLE,319986,3814
LAX,UNST,LOS ANGELES **,SAT,UNST,SAN ANTONIO,319782,1943
MIA,UNST,MIAMI **,RIO,BRAZ,RIO DE JANEIRO **,319765,6726
HOU,UNST,HOUSTON **,PAR,FRAN,PARIS **,319640,8093
PMI,SPAN,PALMA DE MALLORCA,VLC,SPAN,VALENCIA,319255,274
ATL,UNST,ATLANTA,IND,UNST,INDIANAPOLIS,319018,696
BRU,BELG,BRUSSELS,MAN,UNKG,MANCHESTER,318947,535
SFO,UNST,SAN FRANCISCO,STL,UNST,ST LOUIS,318314,2785
BNA,UNST,NASHVILLE,MSY,UNST,NEW ORLEANS,317674,760
BJS,CHIN,BEIJING,FRA,GERF,FRANKFURT,317576,7782
CRP,UNST,CORPUS CHRISTI,HOU,UNST,HOUSTON **,317562,300
FRA,GERF,FRANKFURT,GVA,SWTZ,GENEVA,317370,460
CGN,GERF,COLOGNE,FRA,GERF,FRANKFURT,316937,136
AYT,TURK,ANTALYA,STR,GERF,STUTTGART,316860,2181
LAX,UNST,LOS ANGELES **,PPT,FREP,PAPEETE,316357,6606
DUS,GERF,DUSSELDORF,ZRH,SWTZ,ZURICH,316174,445
CLE,UNST,CLEVELAND,FLL,UNST,FORT LAUDERDALE,316108,1713
AMS,NETH,AMSTERDAM,ATH,GREC,ATHENS,315978,2172
GUA,GUAT,GUATEMALA CITY,MIA,UNST,MIAMI **,315797,1642
BCN,SPAN,BARCELONA,LTN,UNKG,LUTON,315757,1189
CHI,UNST,CHICAGO **,MEM,UNST,MEMPHIS,315498,782
ATH,GREC,ATHENS,MUC,GERF,MUNICH,315409,1496
LAX,UNST,LOS ANGELES **,SJD,MEXC,SAN SOSE CABO,315229,1477
MAD,SPAN,MADRID **,ZRH,SWTZ,ZURICH,314494,1239
CLE,UNST,CLEVELAND,SFO,UNST,SAN FRANCISCO,314060,3468
BUE,ARGT,BUENOS AIRES **,NYC,UNST,NEW YORK **,314019,8520
HKG,HONG,HONG KONG,JKT,INDO,JAKARTA **,313712,3265
BGA,COLM,BUCARAMANGA,BOG,COLM,BOGOTA,313462,289
CGN,GERF,COLOGNE,HAM,GERF,HAMBURG,313313,363
BFS,UNKG,BELFAST **,LTN,UNKG,LUTON,313047,481
MSP,UNST,MINNEAPOLIS,TYO,JAPN,TOKYO **,312895,9597
LON,UNKG,LONDON **,PFO,CYPR,PAPHOS,312482,3223
AYT,TURK,ANTALYA,MUC,GERF,MUNICH,311711,1991
FRA,GERF,FRANKFURT,SAO,BRAZ,SAO PAULO **,311504,9802
LAX,UNST,LOS ANGELES **,RDU,UNST,RALEIGH/DURHAM,311452,3592
ELP,UNST,EL PASO,LAX,UNST,LOS ANGELES **,310444,1146
MSP,UNST,MINNEAPOLIS,TPA,UNST,"TAMPA, FL **",310152,2106
BCN,SPAN,BARCELONA,ZRH,SWTZ,ZURICH,309459,854
CMH,UNST,"COLUMBUS, OH **",STL,UNST,ST LOUIS,309124,657
AMS,NETH,AMSTERDAM,BKK,THAI,BANGKOK,308860,9169
MUC,GERF,MUNICH,ZRH,SWTZ,ZURICH,308473,247
GVA,SWTZ,GENEVA,NCE,FRAN,NICE,308398,298
FRA,GERF,FRANKFURT,JNB,SOUF,JOHANNESBURG,308030,8694
BIA,FRAN,BASTIA,PAR,FRAN,PARIS **,307811,880
ORL,UNST,ORLANDO,SLC,UNST,SALT LAKE CITY,307456,3090
ATH,GREC,ATHENS,AXD,GREC,ALEXANDROUPOLIS,307452,379
BOS,UNST,BOSTON,PAR,FRAN,PARIS **,307397,5530
LON,UNKG,LONDON **,YMQ,CAND,MONTREAL **,307114,5181
CFE,FRAN,CLERMONT-FERRAND,PAR,FRAN,PARIS **,307046,333
HOU,UNST,HOUSTON **,MSP,UNST,MINNEAPOLIS,305686,1704
NTE,FRAN,NANTES,PAR,FRAN,PARIS **,305624,345
NAP,ITAL,NAPOLI,ROM,ITAL,ROMA **,305325,199
BLQ,ITAL,BOLOGNA,LON,UNKG,LONDON **,305252,1172
BUR,UNST,BURBANK,PDX,UNST,PORTLAND,305050,1315
FRA,GERF,FRANKFURT,OSA,JAPN,OSAKA,304845,9230
FRA,GERF,FRANKFURT,MAN,UNKG,MANCHESTER,304843,831
BRU,BELG,BRUSSELS,STO,SWED,STOCKHOLM **,304672,1266
ATH,GREC,ATHENS,NYC,UNST,NEW YORK **,304458,7922
BKK,THAI,BANGKOK,MNL,PHIL,MANILA,304417,2200
IBZ,SPAN,IBIZA,PMI,SPAN,PALMA DE MALLORCA,304377,141
IST,TURK,ISTANBUL,ZRH,SWTZ,ZURICH,303877,1761
SGN,VTND,HO CHI MINH CITY,TPE,TAIW,TAIPEI,303546,2228
SLC,UNST,SALT LAKE CITY,WAS,UNST,WASHINGTON **,303482,2952
DPS,INDO,DENPASAR (BALI),TYO,JAPN,TOKYO **,303269,5557
PAR,FRAN,PARIS **,PRG,CZCH,PRAGUE,302634,883
BRU,BELG,BRUSSELS,MUC,GERF,MUNICH,302223,604
LON,UNKG,LONDON **,MOW,RUSF,MOSCOU **,302073,2547
JAX,UNST,JACKSONVILLE,PHL,UNST,PHILADELPHIA,301536,1201
SEA,UNST,SEATTLE,STL,UNST,ST LOUIS,301498,2742
ABQ,UNST,ALBUQUERQUE,HOU,UNST,HOUSTON **,301458,1218
MAD,SPAN,MADRID **,MEX,MEXC,MEXICO CITY,301271,9062
BOS,UNST,BOSTON,CLT,UNST,CHARLOTTE,300680,1170
IBZ,SPAN,IBIZA,MAD,SPAN,MADRID **,300643,457
MOW,RUSF,MOSCOU **,PAR,FRAN,PARIS **,300290,2483
ELP,UNST,EL PASO,LAS,UNST,LAS VEGAS,300272,939
AUA,NETS,ARUBA /ORANJESTAD,MIA,UNST,MIAMI **,300205,1827
BER,GERF,BERLIN **,ZRH,SWTZ,ZURICH,300004,656
DEN,UNST,DENVER,MIA,UNST,MIAMI **,299852,2758
ACE,SPNA,ARRECIFE,TCI,SPNA,TENERIFE **,299461,298
BWI,UNST,BALTIMORE,SAT,UNST,SAN ANTONIO,299438,2260
CPH,DENM,COPENHAGEN **,MIL,ITAL,MILANO **,298997,1149
ABE,UNST,ALLENTOWN,ORL,UNST,ORLANDO,298516,1450
SLC,UNST,SALT LAKE CITY,SMF,UNST,SACRAMENTO,298206,853
OMA,UNST,OMAHA,STL,UNST,ST LOUIS,297962,549
LON,UNKG,LONDON **,TLS,FRAN,TOULOUSE,297912,870
FLL,UNST,FORT LAUDERDALE,IND,UNST,INDIANAPOLIS,297796,1621
DUB,IRLD,DUBLIN,LTN,UNKG,LUTON,297555,433
FDF,MART,FORT DE FRANCE,PTP,GUAD,POINTE A PITRE,297092,196
BFS,UNKG,BELFAST **,LPL,UNKG,LIVERPOOL,297010,247
BNA,UNST,NASHVILLE,MKC,UNST,KANSAS CITY,296206,770
AHO,ITAL,ALGHERO,ROM,ITAL,ROMA **,296087,354
AMS,NETH,AMSTERDAM,HEL,FINL,HELSINKI,295521,1519
GLA,UNKG,GLASGOW **,PMI,SPAN,PALMA DE MALLORCA,295452,1887
BKK,THAI,BANGKOK,SGN,VTND,HO CHI MINH CITY,295401,741
SJC,UNST,SAN JOSE,SLC,UNST,SALT LAKE CITY,294974,939
HKG,HONG,HONG KONG,XMN,CHIN,XIAMEN,294692,464
BOS,UNST,BOSTON,CLE,UNST,CLEVELAND,294086,903
PAR,FRAN,PARIS **,SAO,BRAZ,SAO PAULO **,294064,9378
ATL,UNST,ATLANTA,SAT,UNST,SAN ANTONIO,294052,1403
PHL,UNST,PHILADELPHIA,YTO,CAND,TORONTO,293880,558
BEY,LEBN,BEIRUT,PAR,FRAN,PARIS **,293836,3185
FLL,UNST,FORT LAUDERDALE,HOU,UNST,HOUSTON **,293678,1538
ATH,GREC,ATHENS,BRU,BELG,BRUSSELS,293357,2091
BWI,UNST,BALTIMORE,SLC,UNST,SALT LAKE CITY,293124,2991
PIT,UNST,PITTSBURGH,SFO,UNST,SAN FRANCISCO,293086,3617
BOI,UNST,BOISE,GEG,UNST,SPOKANE,292950,463
BWI,UNST,BALTIMORE,NYC,UNST,NEW YORK **,292680,288
FRA,GERF,FRANKFURT,WAW,POLD,WARSAW,292520,896
MIA,UNST,MIAMI **,POS,TRIN,PORT OF SPAIN,292496,2611
BOS,UNST,BOSTON,MSY,UNST,NEW ORLEANS,292452,2200
STO,SWED,STOCKHOLM **,ZRH,SWTZ,ZURICH,292036,1458
FOC,CHIN,FUZHOU,HKG,HONG,HONG KONG,292000,664
LAX,UNST,LOS ANGELES **,MEL,ASTL,MELBOURNE **,291678,12748
FRA,GERF,FRANKFURT,NCE,FRAN,NICE,291596,715
BRU,BELG,BRUSSELS,VIE,AUST,VIENNA,291131,921
FMY,UNST,FORT MYERS,PHL,UNST,PHILADELPHIA,291046,1600
ATH,GREC,ATHENS,MJT,GREC,MITILINI,290992,315
ATH,GREC,ATHENS,CFU,GREC,CORFU,290926,401
CVG,UNST,CINCINNATI,MSP,UNST,MINNEAPOLIS,290750,959
LON,UNKG,LONDON **,LOS,NIGR,LAGOS,290729,4984
BNA,UNST,NASHVILLE,FLL,UNST,FORT LAUDERDALE,290648,1278
